nanosecsAStar,
2267500,
176200,
179100,
177500,
171300,
175800,
173400,
175000,
178600,
180600,
186500,
184100,
166200,
173900,
184200,
166400,
162500,
181900,
165800,
166200,
168400,
166100,
168300,
166000,
164800,
162000,
164700,
167300,
163700,
165800,
161500,
167100,
165900,
161400,
164500,
229300,
166800,
162700,
164700,
164900,
193900,
167900,
166200,
163600,
164400,
161800,
164400,
134300,
134100,
134100,
145200,
133000,
135700,
134200,
141100,
133700,
138400,
133900,
135400,
135400,
133300,
143100,
136300,
135000,
132200,
135100,
130900,
151700,
136000,
130900,
134700,
136900,
137000,
132300,
131900,
134000,
134000,
126900,
112500,
112300,
113000,
112200,
112500,
111200,
110600,
119700,
111700,
110800,
109300,
130600,
112500,
113100,
112300,
110400,
108600,
114200,
113200,
114600,
111100,
109700,
112900,
108500,
113200,
112500,
111300,
111000,
110700,
109600,
109700,
111200,
112200,
86500,
88300,
85200,
86400,
88800,
85900,
91400,
84600,
90200,
104800,
142300,
92000,
85500,
84300,
99400,
83100,
84600,
85100,
84600,
84600,
102900,
85400,
86900,
86600,
83800,
84500,
87200,
84500,
84800,
85500,
85800,
85700,
63900,
68900,
81100,
65800,
87200,
63700,
64200,
63800,
67500,
65900,
66000,
70300,
66000,
67700,
63900,
65000,
66100,
69100,
65900,
66700,
64800,
64100,
62800,
64400,
62700,
63500,
66700,
67200,
65700,
65200,
66400,
20200,
20200,
22500,
19800,
19100,
36000,
19700,
19000,
22000,
21100,
21200,
19600,
19900,
19200,
20700,
20700,
20500,
18900,
12200,
10700,
11300,
11100,
14400,
174000,
176400,
175000,
176000,
175400,
173800,
173300,
247600,
175200,
187100,
169600,
166000,
167600,
169900,
164600,
165600,
166700,
168800,
164900,
169400,
166100,
163400,
165300,
194900,
172000,
165400,
170100,
163400,
163100,
163800,
161600,
164700,
161100,
160600,
164300,
164200,
163600,
162100,
161400,
162000,
161800,
165400,
162500,
168800,
167000,
135600,
133000,
136100,
148700,
136900,
132900,
134600,
135700,
134700,
137700,
136400,
133600,
139400,
135700,
135700,
137000,
134800,
131900,
136300,
132000,
136500,
132900,
132400,
132300,
130600,
133300,
134300,
133400,
133900,
132800,
108500,
110400,
111900,
113500,
111500,
109500,
112100,
112500,
110900,
110800,
114100,
110300,
110200,
114500,
114800,
112700,
115700,
114200,
111600,
109500,
145400,
109000,
112600,
108800,
111000,
108000,
109300,
107600,
109100,
112800,
117100,
108600,
110300,
87100,
88800,
87400,
87400,
87300,
86800,
87900,
87700,
87600,
87700,
89300,
86200,
86200,
86200,
87000,
88000,
82100,
83200,
84800,
86500,
87600,
82000,
86600,
84600,
84200,
87900,
84100,
86000,
84900,
88600,
86800,
85200,
86100,
65200,
73300,
63100,
65000,
66700,
68500,
66100,
65200,
94600,
69200,
66100,
65800,
67400,
65500,
65500,
64200,
68200,
63500,
77300,
63400,
63200,
64800,
64000,
63400,
62900,
68800,
66200,
66600,
64200,
64200,
63500,
20900,
19900,
18600,
20100,
20600,
19600,
19100,
20700,
20000,
19900,
19400,
20300,
19200,
20700,
19100,
19600,
19300,
19300,
18600,
11000,
12500,
11200,
13900,
1594700,
134300,
131700,
131900,
132000,
140000,
132400,
140000,
105400,
117600,
110800,
110000,
113000,
113300,
112200,
112100,
112600,
112100,
110300,
179100,
172900,
176600,
180800,
179400,
176900,
182900,
184600,
179900,
176200,
182700,
177300,
184000,
177700,
185700,
178600,
188600,
188500,
195600,
189300,
192900,
193500,
191600,
193500,
199200,
190300,
190900,
200100,
191100,
193400,
200500,
198000,
188000,
192000,
191000,
202200,
192500,
210000,
192900,
193600,
192500,
197400,
193500,
195700,
191100,
190900,
191800,
203200,
195300,
189200,
193900,
190100,
198200,
197500,
191900,
196100,
194100,
193800,
193900,
196800,
195200,
192800,
196100,
193700,
194800,
202300,
237200,
194200,
197300,
195700,
194300,
200900,
196000,
196600,
197300,
192500,
193900,
199600,
193600,
194000,
196500,
194900,
197800,
199700,
193100,
195400,
196200,
194800,
196400,
199800,
193500,
190700,
194700,
196400,
195100,
211800,
195800,
202000,
197800,
196400,
198100,
199900,
194000,
192500,
192900,
193000,
190600,
198800,
197500,
192900,
195400,
196700,
198500,
198800,
164100,
162200,
167400,
166300,
165100,
165300,
165400,
1750200,
136200,
130100,
130500,
132900,
132600,
130800,
134000,
131900,
126900,
129200,
131200,
120200,
134200,
128800,
128800,
127200,
108300,
109800,
111300,
108200,
138700,
142500,
140900,
146500,
138900,
138600,
142200,
141800,
137400,
146400,
139600,
141700,
138100,
139500,
144200,
143300,
140700,
140900,
137500,
140300,
138700,
140800,
139000,
140900,
138900,
145300,
145300,
150800,
165400,
144800,
143500,
150500,
147100,
151400,
150100,
145500,
145200,
145800,
148800,
143100,
142300,
140800,
150300,
140200,
139200,
145400,
139000,
141200,
146500,
142200,
141500,
140200,
140400,
142600,
144500,
143800,
150100,
147500,
156100,
142200,
143900,
149000,
142200,
140800,
148900,
148100,
147300,
149900,
147200,
155500,
148200,
149500,
147000,
155600,
145400,
154900,
146000,
148200,
149100,
154900,
150600,
149800,
152400,
147200,
